text,aspect,label
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.","22"" Monitor",neutral
"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",internet use,positive
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",system,positive
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,negative
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",spreadsheets,neutral
Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,positive
I love the operating system and the preloaded software.,preloaded software,positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Home Premium,neutral
and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,positive
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",online chat service,negative
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,positive
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.",charge,neutral
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative
I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician,positive
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,positive
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,positive
"It has far exceeded my expectations for power, storage, and abilitiy.",storage,positive
The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,battery life,negative
The gray color was a good choice.,gray color,positive
I finally decided on this laptop because it was the right price for what I need it.,price,positive
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",use,positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,neutral
"But after using it a couple of weeks, the overall operation is poor.",operation,negative
Pay attention to the specs if you want these options.,specs,neutral
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery,negative
tons of bloatware and junk programs.,programs,negative
You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.,parallels type program,positive
"It has many great programs, such as ILife, iPhotos and others.",ILife,positive
And that probably explains why I've already had my SATA controller go bad within a year of buying it.,SATA controller,negative
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,cd drive,neutral
Not to mention sometimes the whole charger unit will decide not to work entirely.,charger unit,negative
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.",8GB of RAM,neutral
1.You can not change your desktop background (window's 7 starter does NOT support that function).,desktop background,negative
 Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty,negative
A great computer for light home use and business use.,home use,positive
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",Screen,positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,brightness,neutral
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",Keynote,neutral
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",dual-core,neutral
Another Great thing is the Beast graphics.,Beast graphics,positive
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,negative
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",Firefox,neutral
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,negative
"Now mainboard is broken, have to wait for a new one.",mainboard,negative
"I love the size, keyboard, the functions.",keyboard,positive
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",Windows,negative
Lightweight and the screen is beautiful!,screen,positive
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,negative
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",display,positive
"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",cursor,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",screen,negative
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",design,negative
I recommend for word processing and internet users.,word processing,positive
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life,negative
"The price was very good, and the product is top quality.",price,positive
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",Setting,negative
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",set up,positive
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",mouse,neutral
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,negative
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,LED backlit screen,positive
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,negative
", Applications respond immediately (not like the tired MS applications).",Applications,positive
"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.",quality,positive
It's color is even cool.,color,positive
"But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD.",recovery DVDs,neutral
"Did I mention everything about it, from size to weight to keyboard screams BULK?",size,negative
"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,negative
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard,positive
"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price,neutral
"Fan vents to the side, so no cooling pad needed, great feature!",feature,positive
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,negative
"I had a USB connect but, i can't use it because it is not compatible.",USB connect,negative
"From the get-go, the M6809 was unsteady in its operation;",operation,negative
With notes saying they replaced the hard drive.,hard drive,neutral
Vista is a nightmare.,Vista,negative
"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",Appleworks,negative
the programs are esay to use and are quick to process this computer works like a charm.,use,positive
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,look,positive
It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,positive
"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",runs,positive
I have only had PCs with Windows before so this takes a little getting use to.,Windows,neutral
"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.",price,positive
But the screen size is not that bad for email and web browsing.,screen size,positive
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,S-video port,negative
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,performs,positive
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",Final Cut Pro,positive
"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,negative
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative
"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",downloads,negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative
"The only drawback for me is how dirty the screen gets, and rather quickly too.",screen,negative
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,negative
"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",warranty,positive
But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,negative
"With awesome graphics and assuring security, it's perfect!",graphics,positive
"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,negative
"The computer itself was fast, ran smoothly, and had no problems.",ran,positive
"It is easy to use, good quality and good price.",quality,positive
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",speaker grill,negative
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",firewire 800 interface,positive
I bought a protector for my key pad and it works great :),key pad,positive
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",ergonomics,negative
Windows Vista makes this computer almost unusable for online service.,online service,negative
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows 7 Home Premium,neutral
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,negative
The first full charge of this battery got me only about 2 full hours.,full charge,negative
"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",value,positive
"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",loads,positive
I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",linux based os,negative
It seems they could have updated XP and done without creating Vista.,XP,positive
But other than that I am blown away by all the features this laptop offers.,features,positive
Fan noise: The fan made a constant hissing noise in the background.,fan,negative
so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.,setup,negative
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,positive
It's super fast and a great value for the price!,price,positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",extended life battery,neutral
Seems like maybe a bad shipment from Toshiba.,shipment,negative
As well as having the plug in the computer come loose.,plug,negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",web programming software,positive
"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",speakers,negative
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",graphics,positive
"The battery life, before the battery completely died of course, left much to be desired.",battery,negative
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",Windows,negative
"4) Laptop still did not work, blue screen within a week...",work,negative
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,neutral
"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",edges,negative
HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,negative
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,agents,negative
It has a faster processor and more ram.,processor,positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,neutral
This system came loaded with Windows 7 Starter.,Windows 7 Starter,neutral
The laptop was very easy to set up.,set up,positive
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,plastic piece,negative
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR5,positive
"Most everything is fine with this machine: speed, capacity, build.",build,positive
The battery has never worked well.,battery,negative
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative
"Screen is awesome, battery life is good.",Screen,positive
You may need to special order a bag.,bag,neutral
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral
This wiped out several programs that were installed on the computer when it was bought.,programs,negative
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive
It has good speed and plenty of hard drive space.,hard drive space,positive
"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",fan noise,negative
I'm tired of the inept service.,service,negative
"Some features arent friendly ( volume wheel, sound quality, etc.",features,negative
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",components,positive
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,negative
Features like the font are very block-like and old school.,font,negative
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",complex data analysis,neutral
Ease of use is just one of the benefits I love about my Mac.,use,positive
Unless you need the Bluetooth 3.,Bluetooth 3,neutral
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iWork,positive
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Windows update,negative
"PC users work in Word, while Mac users work in Pages.",Word,neutral
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",program,positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,positive
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",iWork,neutral
"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",size,positive
"The minute you fire it up it's all good, very easy user interface.",user interface,positive
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs,positive
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping,negative
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,positive
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative
This is what I call a good after sales service.,after sales service,positive
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,positive
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard,negative
And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,ram,positive
"The video card is great for media, and above average for gaming, but not a gamers first choice.",media,positive
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",windows,neutral
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,neutral
  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,negative
"Because we did not purchase the extended warranty in time, we are on the hook for the repair.",extended warranty,negative
"Aside from the trial software and the short battery life, lack of a webcam, its great.",trial software,negative
My kids (and dogs) destroyed two power cords by pulling on them.,power cords,neutral
Great pick for portability and affordability.,portability,positive
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive
This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.,charge,positive
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,Battery,neutral
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,battery,negative
"Looks nice, but has a horribly cheap feel.",Looks,positive
"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",Microsoft Student Edition,negative
The only thing is that the battery won't last more than 1/2 an hour.,battery,negative
It has just enough RAM to run smoothly and enough memory to satisfy my needs.,RAM,positive
For me I was lucky and a local store was selling them for $2000 off and Best Buy matched their price so I was able to buy one for under $1000,price,positive
I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.,warrenty,negative
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,neutral
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system,positive
I now realize that my $900 would have been better spent on a Windows laptop.,Windows,positive
I cannot be happier with the service or product.,service,positive
"While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok.",keyboard,neutral
Disappointing for such a lovely screen and at a reasonable price,price,positive
"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,negative
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",windows,neutral
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,Microsoft Office,neutral
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,negative
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative
Asus facial recognition doesn't work and windows logon isn't either.,facial recognition,negative
It seems they could have updated XP and done without creating Vista.,Vista,negative
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",response,positive
"the touch pad is fine - again, it's a real touch pad.",touch pad,positive
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive
"It is absolutely horrible to use, despite all its so called advanced features.",features,negative
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",plate,negative
the mouse pad and buttons are the worst i've ever seen.,mouse pad,negative
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",word processing,neutral
pretty much everything else about the computer is good it just stops working out of no were.,working,negative
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",keyboard,neutral
Then the hard drive failed;,hard drive,negative
Good for every day computing and web browsing.,every day computing,positive
Good for every day computing and web browsing.,web browsing,positive
"*=Webcam is a bit laggy, not the greatest.",Webcam,negative
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,positive
I believe that the quality of a mac is worth the price.,price,positive
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).",Browsing,positive
" I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",dvd drive,negative
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",iwork,positive
Even out of warranty!,warranty,neutral
"The PhotoBooth is a great program, it takes very good pictures with the built-in camera.",program,positive
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative
"Waiting for the i7 was well worth it, great value for the price.",i7,positive
Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software,neutral
The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.,Windows 7,positive
"My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all.",buttons,negative
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,neutral
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",fan,neutral
I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,neutral
"the hinge design forced you to place various connections all around the computer, left right and front.",hinge design,negative
the manufacturer's warranty only covers replacement/repair of parts.,warranty,negative
The speakers on it are useless too.,speakers,negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative
The only bad thing about it is they give you the worst batteries possible.,batteries,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Paralles,neutral
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",headphones,negative
Many kinds of software that is necessary to the working person is not available and cannot be downloaded.,software,negative
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",edges,negative
"The screen takes some getting use to, because it is smaller than the laptop.",screen,negative
The ease of use is wonderful.,use,positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative
STOPPED BOOTING UP less than a week after my one-year warranty was up.,BOOTING UP,negative
but it  has a major design flaw.,design,negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,positive
It's software and speed enable it to do amazing things.,speed,positive
"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.",recovery DVDs,positive
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",USB ports,negative
Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,hard disk space,positive
The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive
The case is carved out of a single block of aluminum.,case,neutral
The capabilities using that program alone made me want a Mac.,program,positive
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",paint,negative
The trackpad was easy to learn and navigate.,trackpad,positive
"This is an over-sized, 18-inch laptop.",18-inch,negative
"  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.",Windows Vista Home Premium,neutral
Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,software,positive
The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,battery,negative
"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",features,neutral
It weighed like seven pounds or something like that.,weighed,neutral
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,work,negative
STOPPED BOOTING UP less than a week after my one-year warranty was up.,one-year warranty,neutral
"company provides UPS shipping, fast, great!",shipping,positive
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,negative
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,negative
"It has many great programs, such as ILife, iPhotos and others.",programs,positive
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,neutral
The So called laptop Runs to Slow and I hate it!,Runs,negative
"The processor went on me, the fan went and the motherboard went.",processor,negative
"I love the easy to see screen, and It works well for work, persoal or just play.",screen,positive
"Even with virus protection, it always turned off when updates were needed and installed.",updates,negative
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,negative
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,positive
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,neutral
